kod_sekolah,name,address,latitude,longitude,ppd,school_type,,sebab_ralat
ABA7021,SEKOLAH KEBANGSAAN SERI TAWAI,KAMPUNG TAWAI , JALAN GERIK LENGGONG,5.388904,101.076911,PPD HULU PERAK,['RENDAH'],could not convert string to float: 'JALAN GERIK LENGGONG'
ABA7022,SEKOLAH KEBANGSAAN KENAYAT,KM 18, JALAN GERIK LENGGONG,5.356697,101.038099,PPD HULU PERAK,['RENDAH'],could not convert string to float: 'JALAN GERIK LENGGONG'
ABA7024,SEKOLAH KEBANGSAAN KERUNAI,JALAN INTAN, KG. KERUNAI,5.515248,101.126806,PPD HULU PERAK,['RENDAH'],could not convert string to float: 'KG. KERUNAI'
ABA7027,SEKOLAH KEBANGSAAN RKT BERSIA,JALAN KELILING, FELDA BERSIA,5.473906,101.203915,PPD HULU PERAK,['RENDAH'],could not convert string to float: 'FELDA BERSIA'
ABA7037,SEKOLAH KEBANGSAAN RPS BANUN,PETI SURAT 60, PEJABAT POS GERIK,5.558584,101.414861,PPD HULU PERAK,['RENDAH'],could not convert string to float: 'PEJABAT POS GERIK'
ABA7038,SEKOLAH KEBANGSAAN RPS DALA,PETI SURAT 33, PEJABAT  POS GERIK,5.248873,101.179392,PPD HULU PERAK,['RENDAH'],could not convert string to float: 'PEJABAT  POS GERIK'
ABA7040,SEKOLAH KEBANGSAAN BATU 4,BT 4, JALAN KUALA RUI,5.452761,101.145755,PPD HULU PERAK,['RENDAH'],could not convert string to float: 'JALAN KUALA RUI'
ABA8201,SEKOLAH KEBANGSAAN SUNGAI GALAH,KAMPONG SUNGAI GALAH, JALAN TANJONG TUALANG,4.251467496,101.0266564,PPD PERAK TENGAH,['RENDAH'],could not convert string to float: 'JALAN TANJONG TUALANG'
ABA8212,SEKOLAH KEBANGSAAN BAKONG,KAMPUNG KUCHAI, LAMBOR KIRI,4.293903,100.89304,PPD PERAK TENGAH,['RENDAH'],could not convert string to float: 'LAMBOR KIRI'
ABA8221,SEKOLAH KEBANGSAAN LAYANG-LAYANG KANAN,KG BARU, LAYANG-LAYANG KANAN,4.400417723,100.8886526,PPD PERAK TENGAH,['RENDAH'],could not convert string to float: 'LAYANG-LAYANG KANAN'
ABA8239,SEKOLAH KEBANGSAAN PASIR KUBU,KG. PASIR KUBU, PULAU TIGA KIRI,4.245195967,100.9053258,PPD PERAK TENGAH,['RENDAH'],could not convert string to float: 'PULAU TIGA KIRI'
ABA8252,SEKOLAH KEBANGSAAN FELCRA NASARUDDIN,KM 37, JALAN TRONOH ,4.322522379,100.9526178,PPD PERAK TENGAH,['RENDAH'],could not convert string to float: 'JALAN TRONOH'
ABA9016,SEKOLAH KEBANGSAAN CHANGKAT TUALANG,KG. CHANGKAT TUALANG, KOTA BAHRU ,4.425209997,101.0877837,PPD KINTA SELATAN,['RENDAH'],could not convert string to float: 'KOTA BAHRU'
ABAA007,SEKOLAH KEBANGSAAN BEHRANG,BATU 8, BEHRANG ULU,3.777975,101.499392,PPD BATANG PADANG,['RENDAH'],could not convert string to float: 'BEHRANG ULU'
ABAB001,SEKOLAH KEBANGSAAN TAPAK SEMENANG,KAMPONG TAPAK SEMENANG, MUKIM TELUK BHARU,3.95364,100.948417,PPD BAGAN DATUK,['RENDAH'],could not convert string to float: 'MUKIM TELUK BHARU'
ABAB003,SEKOLAH KEBANGSAAN SUNGAI BETUL,SUNGAI BETUL, JALAN RUNGKUP KECIL KE BAGAN DATOH,3.978967,100.716,PPD BAGAN DATUK,['RENDAH'],could not convert string to float: 'JALAN RUNGKUP KECIL KE BAGAN DATOH'
ABAB006,SEKOLAH KEBANGSAAN SUNGAI SUMUN,PARIT 7, KAMPUNG SUNGAI SUMUN,3.876658,100.85305,PPD BAGAN DATUK,['RENDAH'],could not convert string to float: 'KAMPUNG SUNGAI SUMUN'
ABAB018,SEKOLAH KEBANGSAAN BAGAN DATOH,KM 1, JALAN BAGAN DATOH,3.983858,100.787367,PPD BAGAN DATUK,['RENDAH'],could not convert string to float: 'JALAN BAGAN DATOH'
